code,country,age_midage,age_old,age_veryold,age_veryyoung,age_young,code_numeric,education,fhpolrigaug,laborshare,lpop,lrgdpch,medage,nsave,polity4,socialist,year,year_numeric,sample,worldincome,worlddemocracy,samplebalancefe,samplebalancegmm
NIC,Nicaragua,0.1512005,0.0778715,0.0402336,0.4802077,0.2504867,133,2.091,0.49,,7.340836,7.964466,16,0.1236739,0.1,0,1960,33,1,11.819,0.3554307,0,0
NLD,Netherlands,0.1907001,0.1609195,0.1314002,0.3000697,0.2169105,134,5.272,1,0.526583,9.348971,9.13194,28.7,0.2969307,1,0,1960,33,1,20.66337,0.5520051,0,0
NOR,Norway,0.2055292,0.1870986,0.1616867,0.2588663,0.1868193,135,6.109,1,0.5366848,8.183397,9.016792,34.4,0.3009463,1,0,1960,33,1,12.77648,0.4021984,0,0
NPL,Nepal,0.1734,0.1093,0.0598,0.3933,0.2642,136,0.074,0.4,,9.194109,6.657564,20.4,0.0598352,0,0,1960,33,1,4.228016,0.1290524,0,0
NZL,New Zealand,0.1918212,0.1543002,0.1222597,0.3288364,0.2027825,137,9.555,1,0.5898695,7.771489,9.353518,27.4,0.2265405,1,0,1960,33,1,10.98494,0.3600234,0,0
OMN,Oman,0.1415929,0.0902655,0.0477876,0.4637168,0.2566372,139,,,,6.324359,,16.9,,0,0,1960,33,1,,,,
PAK_1,Pakistan-pre-1972,0.1658578,0.1084933,0.0626852,0.4132173,0.2497464,141,0.628,0.4,0.2443064,11.48711,6.450712,,0.0160455,0.15,0,1960,33,1,7.395193,0.2018829,,
PAN,Panama,0.1563055,0.1003552,0.0674956,0.4298401,0.2460036,142,4.263,0.75,0.3488529,7.026427,7.751285,18.6,0.1518252,0.7,0,1960,33,1,24.89241,0.8173089,0,0
PER,Peru,0.1557905,0.0983887,0.0563948,0.4331319,0.2562941,144,3.025,0.83,0.2570886,9.203417,8.07968,18.4,0.4177531,0.7,0,1960,33,1,5.703657,0.1783635,0,0
PHL,Philippines,0.1443409,0.0928513,0.048052,0.4585643,0.2561913,145,3.774,0.93,0.2341504,10.20563,7.608164,17,0.1622354,0.75,0,1960,33,1,10.36422,0.3168642,0,0
PRK,"Korea, Dem. Rep.",0.1634296,0.104287,0.0600175,0.3573053,0.3149606,149,,0.21,,9.343997,,20.8,,0.1,0,1960,33,1,,,,
PRT,Portugal,0.1944225,0.1576154,0.1174212,0.2915208,0.23902,150,1.939,0.42,0.2813594,9.098638,8.140011,28,0.1754598,0.05,0,1960,33,1,12.69424,0.3542471,0,0
PRY,Paraguay,0.1341662,0.1026616,0.0912548,0.4416078,0.2303096,151,3.352,0.39,,7.518607,7.793753,18.1,0.1686595,0.05,0,1960,33,1,6.037611,0.1863936,0,0
SAU,Saudi Arabia,0.1578689,0.0972256,0.0547508,0.433096,0.2570587,157,,0.12,,8.312626,,18.4,,0,0,1960,33,1,,,,
SLV,El Salvador,0.1573643,0.0868217,0.0422481,0.4612403,0.2523256,166,1.7,0.54,0.2453808,7.854769,8.104618,17,0.1128517,0.35,0,1960,33,1,10.60294,0.3225505,0,0
SWE,Sweden,0.2053476,0.2024064,0.1725936,0.2200535,0.1995989,172,7.648,1,0.554925,8.919988,9.227096,36.2,0.2643586,1,0,1960,33,1,12.37183,0.3797196,0,0
SYR,Syrian Arab Republic,0.1511804,0.08577,0.0565302,0.4570067,0.2495127,175,0.994,0.39,0.3358821,8.425297,7.246059,17.3,0.0639835,,0,1960,33,1,6.323369,0.1532148,0,0
THA,Thailand,0.1573448,0.0909262,0.0478499,0.4438055,0.2600737,178,3.451,0.33,,10.18082,6.994959,18,0.1407616,0.15,0,1960,33,1,11.53508,0.3542408,0,0
TUR,Turkey,0.1584316,0.1092693,0.0607091,0.4236178,0.2479722,184,1.996,0.59,0.3125236,10.22227,7.8965,19.5,0.1467982,,0,1960,33,1,5.948125,0.1392082,0,0
TWN,Taiwan,,,,,,186,3.316,,,,7.265564,,0.1266418,0.1,0,1960,33,1,,,0,
URY,Uruguay,0.2071682,0.1567546,0.1181568,0.2788499,0.2390705,191,5.032,1,,7.839132,8.678337,28.9,0.1760632,0.9,0,1960,33,1,8.331006,0.2422777,0,0
USA,United States,0.200275,0.1618992,0.1325426,0.3083278,0.1969553,192,8.665,0.95,0.4822736,12.10443,9.415136,29.6,0.1906712,1,0,1960,33,1,3.556357,0.1128174,0,0
VEN,"Venezuela, RB",0.1627078,0.091185,0.0416997,0.4571127,0.2472948,196,2.53,0.72,0.2887116,8.933137,8.967084,17.2,0.3281293,0.8,0,1960,33,1,8.980224,0.2838575,0,0
VNM,Vietnam,0.178703,0.1299929,0.0738231,0.3937232,0.2237577,197,,,,10.45573,,22.2,,,0,1960,33,1,0.5922028,0.0173562,,
VNM_N,"Vietnam, North",,,,,,198,,0.31,,,,,,0.1,0,1960,33,1,0.5922028,0.0173562,,
VNM_S,"Vietnam, South",,,,,,199,,0.55,,,,,,0.35,0,1960,33,1,0.5922028,0.0173562,,
YEM_N,"Yemen, N.Arab",,,,,,204,,0.12,,,,,,0.2,0,1960,33,1,,,,
ZAF,South Africa,0.1709588,0.1060014,0.0605886,0.4094619,0.2529892,208,4.075,0.65,0.4537829,9.763995,8.509544,19.7,0.2138981,0.7,0,1960,33,1,7.867379,0.2438472,0,0
ADO,Andorra,,,,,,1,,,,,,,,,0,1965,34,1,,,,
AFG,Afghanistan,0.163412,0.0956861,0.0458015,0.4336943,0.261406,2,0.908,0.23,,9.316051,,18.3,,0.15,0,1965,34,1,,,,
ARG,Argentina,0.2075573,0.152852,0.0979671,0.302024,0.2395997,6,5.214,0.53,,10.01158,9.01616,27.2,0.2450297,0.45,0,1965,34,1,3.034786,0.0819034,0,0
AUS,Australia,0.1961197,0.1599508,0.122114,0.2966377,0.2251778,9,9.297,1,0.5134989,9.340316,9.420744,28.3,0.2687385,1,0,1965,34,1,6.430516,0.1966906,0,0
AUT,Austria,0.1894346,0.1740267,0.1942496,0.2335947,0.2086945,10,6.905,0.97,0.4728916,8.889446,9.080444,35,0.2806925,1,0,1965,34,1,12.6303,0.306494,0,0
BEL,Belgium,0.2082849,0.170876,0.1845081,0.2386135,0.1977174,15,7.666,1,0.4791776,9.153559,9.188131,34.7,0.2652697,1,0,1965,34,1,,,0,0
BEN,Benin,0.1534979,0.0909465,0.0790123,0.4333333,0.2432099,16,,0.25,,7.795647,7.013138,18.4,0.020601,0.15,0,1965,34,1,9.416944,0.2706982,0,0
BFA,Burkina Faso,0.1513292,0.090593,0.0513292,0.4419223,0.2648262,17,,0.07,,8.537584,6.438499,17.8,0.0307472,0.15,0,1965,34,1,5.477524,0.1526909,0,0
BOL,Bolivia,0.1618235,0.0970408,0.0554519,0.4284191,0.2572647,25,3.855,0.36,,8.228977,7.898943,18.5,0.1919342,0.3,0,1965,34,1,7.16248,0.1957857,0,0
BRA,Brazil,0.1608718,0.0942747,0.0542524,0.4368656,0.2537354,26,2.777,0.61,0.1658272,11.34247,7.952501,18.2,0.2220376,0.05,0,1965,34,1,4.318539,0.1117278,0,0
BTN,Bhutan,0.1736402,0.1046025,0.0554393,0.4069038,0.2594142,29,,,,5.951735,,19.9,,0.1,0,1965,34,1,,,,
